,id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url,object_total_value_clean,tenders,group_economic_operator,subcontracting,contractors,contractors_countries,contractors_total_value,award_of_contracts_address,award_of_contracts_town,subcontracting_boolean
0,563114-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Purchase of Training and Environmental Data Update for SARMAP Software,Services,,69 564.00 EUR,72253200 Systems support services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:563114-2020:TEXT:EN:HTML&src=0,69564.0,1,no,NA,[' Bechtle Brussels NV'],[' Belgium'],69 564.00 EUR,[' Peerderbaan 207'],[' Pelt'],False
1,542061-2020,2020,Frontex - European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions — Lot 2,Services,,2 500 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:542061-2020:TEXT:EN:HTML&src=0,2500000.0,2,no,,[' CAE Aviation'],[' Luxembourg'],3 750 000.00 EUR,[' Luxembourg International Airport'],[' Luxembourg'],False
2,542061-2020,2020,Frontex - European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions — Lot 2,Services,,2 500 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:542061-2020:TEXT:EN:HTML&src=0,2500000.0,2,no,NA,[' DEA Aviation'],[' United Kingdom'],3 750 000.00 EUR,[' Retford Gamston Airport'],[' Retford'],False
3,520760-2020,2020,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Language Courses for Frontex Staff,Services,,500 000.00 EUR,80000000 Education and training services,Quality criterion - Name: Technical merit / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:520760-2020:TEXT:EN:HTML&src=0,500000.0,10,no,,[' Cambridge School of English Sp. z o.o.'],[' Poland'],424 000.00 EUR,NA,[' Warsaw'],False
4,520760-2020,2020,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Language Courses for Frontex Staff,Services,,500 000.00 EUR,80000000 Education and training services,Quality criterion - Name: Technical merit / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:520760-2020:TEXT:EN:HTML&src=0,500000.0,10,no,NA,[' Cambridge School of English Sp. z o.o.'],[' Poland'],76 000.00 EUR,NA,[' Warsaw'],False
5,492276-2020,2020,Frontex,Poland,PL911 Miasto Warszawa,General public services,Provision of Door-to-door Transportation Services for Frontex Vehicles,Services,,1 000 000.00 EUR,60000000 Transport services (excl. Waste transport),Quality criterion - Name: Methodology and risk management / Weighting: 30,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:492276-2020:TEXT:EN:HTML&src=0,1000000.0,4,no,,"[' DSV Air and Sea Sp.Zo.o', ' Pol-Mare Sp.Zo.o', ' Maxi Cargo Sp.Zo.o']","[' Poland', ' Poland', ' Poland']",1 000 000.00 EUR,"[' Ozarowska 40/42', ' Czechoslowacka 3', ' Nowowiejska 28']","[' Ożarów Mazowiecki', ' Gdynia', ' Swarzedz']",False
6,473318-2020,2020,Frontex,Poland,PL911 Miasto Warszawa,Public order and safety,Swecurity Services in EURTF Catania,Services,,672 067.20 EUR,79710000 Security services,"Quality criterion - Name: Adequacy and quality of the proposed team on the basis of the professional experience and training courses foreseen by applicable legislation, as well as any additional training relevant to the execution of guarding services / Weighting: 30/100",Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:473318-2020:TEXT:EN:HTML&src=0,672067.2,2,no,NA,[' Sicurtransport'],[' Italy'],672 067.20 EUR,[' via Papa Segio 4.48'],[' Palermo'],False
7,473315-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Remotely Piloted Aircraft Systems (RPAS) for Medium Altitude Long Endurance Maritime Aerial Surveillance,Services,,50 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical offer / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:473315-2020:TEXT:EN:HTML&src=0,50000000.0,3,no,The contract is likely to be subcontracted,"[' Airbus DS Airborne Solutions GmbH', ' Elbit Systems Ltd, Advanced Technology Center']","[' Germany', ' Israel']",50 000 000.00 EUR,"[' Richard-Dunkel-Strasse 121', ' P.O. Box 539']","[' Bremen', ' Haifa']",True
8,200085-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Short Notice Chartering of Aircraft for Frontex Operational Activities,Services,,10 000 000.00 EUR,60420000 Non-scheduled air transport services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:200085-2020:TEXT:EN:HTML&src=0,10000000.0,5,no,,"[' Air Charter Service GmbH', ' AS Aircontact', ' Air Partner International GmbH', ' Professional Aviation Solutions GmbH']","[' Germany', ' Norway', ' Austria', ' Germany']",10 000 000.00 EUR,"[' An der Welle 5', ' Karenslyst Alle 49', ' Rasumofskygasse 4/16', ' Lustheide 85']","[' Frankfurt', ' Oslo', ' Vienna', ' Bergisch Gladbach']",False
9,175550-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Mobile Surveillance Systems for Frontex Operational Activities — Lot 2,Supplies,,12 000 000.00 EUR,35120000 Surveillance and security systems and devices,Quality criterion - Name: Technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:175550-2020:TEXT:EN:HTML&src=0,12000000.0,17,yes,The contract is likely to be subcontracted,"[' Korporacja Wschód Sp. z o.o.', ' Optix SA']","[' Poland', ' Bulgaria']",12 000 000.00 EUR,"[' Pozaryskiego 28', ' Kliment Ohridski Bled blok 19']","[' Warsaw', ' Sofia']",True
